"decada","nome","total"
"1950","Michael","92709"
"1950","James","87175"
"1950","Robert","86572"
"1960","Michael","86916"
"1960","David","85931"
"1960","John","82536"
"1970","Michael","85321"
"1970","Jennifer","63606"
"1970","David","61776"
"1980","Michael","68752"
"1980","Christopher","60016"
"1980","Jennifer","58385"
"1990","Michael","65274"
"1990","Christopher","52323"
"1990","Jessica","46466"
"2000","Jacob","34465"
"2000","Michael","32025"
"2000","Matthew","28569"
"2010","Isabella","22883"
"2010","Sophia","22267"
"2010","Jacob","22082"
